pmid,Drug Name,Cell Line,Assay
39274965,['alpha-lipoic acid'],"['HT', 'ACN', 'SAS']",[]
39277592,[],"['DND41', 'HCC1599', 'CI']",[]
39278951,[],"['HCC1806', 'SW480', 'MDAMB231']",[]
39279701,[],[],[]
39279908,[],"['T47D', 'KD']",[]
39280296,[],[],[]
39281317,[],"['MCF7', 'SEM']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}]"
39285187,[],[],[]
39285229,[],"['HT', 'SEM', 'JR']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}]"
39285678,[],['SEM'],"[{'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '2 × 10⁶  cells per well'}}]"
39286903,[],[],[]
39287044,[],"['CI', 'KD']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39287183,[],[],[]
39287790,[],"['YT', 'MJ']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '20 min'}}]"
39287984,[],[],"[{'assay': 'BrdU', 'params': {'Incubation Time (hour)': '30 minutes', 'Drug treatment duration (hour)': '30 minutes'}}]"
39289249,['Cisplatin'],"['RD', 'A549', 'MJ']",[]
39289425,[],"['A549', 'GRM', 'TC138']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48h'}}]"
39291032,[],"['TK', 'SAS', 'K562']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug Concentration (mol/L)': '25 μM', 'Drug treatment duration (hour)': '48 h'}}]"
39291812,['Cisplatin'],[],"[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '  cells/well'}}]"
39292752,['Cisplatin'],"['NY', 'H4', 'SAS']","[{'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': '4 μM'}}, {'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39292784,[],"['T47D', 'SEM', 'MX1']","[{'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '2 × 10⁵  cells'}}, {'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': 'concentration of 100'}}]"
39294175,[],"['SEM', 'MCF7', 'CI']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug Concentration (mol/L)': '20 μM', 'Drug treatment duration (hour/day)': '4 h', 'Cell Density (cells/well)': ' cells/well'}}]"
39294656,[],"['KD', 'NY', 'DL']",[]
39294673,[],"['SEM', 'NY']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39296792,['Cisplatin'],[],[]
39298484,[],"['T24', 'SEM']",[]
39300166,[],['SEM'],"[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '1 × 10⁵  cells/well'}}]"
39300257,[],"['K2', 'HF']",[]
39300548,[],[],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39301551,[],"['PA1', 'HK2', 'SEM']",[]
39301934,[],['A549'],[]
39304594,[],"['HF', 'MJ', 'NY']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '10 min'}}]"
39304713,[],"['KD', 'SEM', 'HCC1954']",[]
39304876,['Cisplatin'],"['LS', 'KD', 'NY']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39304879,[],"['TT', 'RC']",[]
39304998,[],"['A431', 'RC']",[]
39305332,[],"['MCF7', 'HH']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39307856,[],['MCF7'],[]
39310027,[],"['MJ', 'SKBR3', 'RL']",[]
39311637,[],"['JIMT1', 'NY']",[]
39312041,[],[],[]
39312663,[],['T47D'],[]
39312939,[],[],[]
39312952,[],[],[]
39313574,['Cisplatin'],"['SKBR3', 'MCF7', 'MCF10A']",[]
39316256,[],['MJ'],[]
39319107,[],"['PC3', 'SKOV3', 'A375']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}]"
39320578,['Cisplatin'],"['SEM', 'HCT116', 'MJ']",[]
39322603,[],"['HCC1428', 'HCC1500', 'PA1']",[]
39327614,[],"['MCF10A', 'MCF7', 'BT549']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}]"
39327737,[],"['RL', '697', 'SKBR3']",[]
39328201,[],"['MJ', 'MCF10A', 'DB']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h', 'Cell Density (cells/well)': '468 cells'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '2H', 'Drug treatment duration (hour)': '2H', 'Cell Density (cells/well)': '468 cells'}}]"
39328279,[],"['MCF7', 'CI', 'A549']",[]
39329715,[],"['A431', 'A549', 'MCF10A']",[]
39329960,[],"['NY', 'HCC1599', 'HCC1806']",[]
39331092,[],['KD'],[]
39331583,[],['A431'],[]
39331714,[],[],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 hours'}}]"
39334853,[],"['MCF7', 'CI', 'BC1']",[]
39334877,[],"['HCT116', 'HT', 'DU145']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39334936,['Cisplatin'],"['SEM', 'GCT']",[]
39335655,[],"['EN', 'SEM', 'A549']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39337269,[],"['SEM', 'T24', 'MCF7']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '6 h'}}, {'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '  cells/well'}}]"
39337390,[],"['MCF7', 'MX1', 'MS1']",[]
39337621,[],"['A549', 'A172', 'C10']",[]
39337633,[],"['SEM', 'A431']",[]
39338222,[],['SKBR3'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39339166,[],"['DL', 'SEM', 'ACN']",[]
39339203,[],['DL'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour/day)': '48 h'}}]"
39339211,[],"['DL', 'T47D']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39339280,[],['A375'],[]
39339370,[],"['A549', 'NY', 'HT29']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 min'}}]"
39339466,[],"['MCF7', 'MCF10A']",[]
39339753,[],"['SEM', 'T47D', 'PC3']",[]
39340815,[],"['A549', 'MCF7', 'SEM']",[]
39341835,[],['SEM'],[]
39341857,[],"['MCF7', 'MCF10A']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39341960,[],"['MCF7', 'SEM']",[]
39342122,['Cisplatin'],[],"[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '0.8 × 10⁴  cells per well', 'Incubation Time (hour)': '24 h', 'Drug Concentration (mol/L)': '300 μM', 'Drug treatment duration (hour/day)': '24 h'}}]"
39342336,[],"['SEM', 'MJ', 'JR']",[]
39342391,[],"['BT549', 'A549', 'U2OS']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39342582,[],[],[]
39342604,[],[],[]
39343993,[],[],[]
39344410,[],"['SEM', '697', 'MCF7']",[]
39344766,[],['MCF7'],[]
39345747,[],[],[]
39345749,['Cisplatin'],['MJ'],[]
39346049,[],"['HT1080', 'MG63', 'MCF7']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39346127,['Cisplatin'],"['SEM', 'DL', 'NY']",[]
39346539,[],"['SEM', 'MJ', 'DB']",[]
39346823,[],"['MCF7', 'SCH', 'A549']",[]
39347954,[],['HCT116'],[]
39349960,[],['SEM'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 min'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '30 min', 'Drug treatment duration (hour)': '30 min', 'Reagent/kit/staining solution Manufacturer and Catalog Number': 'staining solution'}}]"
39350177,[],"['SEM', 'CI']",[]
39351061,[],['RC'],[]
39351229,[],"['T47D', 'NY', 'SEM']",[]
39352757,[],"['BT549', 'SEM', 'DL']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 hours'}}]"
39353903,[],"['MCF7', 'SEM', 'KD']",[]
39354559,[],['GCT'],[]
39355786,['Cisplatin'],"['CI', 'JR', 'MJ']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39356167,[],"['MDAMB468', 'MCF7', 'SKBR3']",[]
39358218,[],[],[]
39358486,[],"['ACN', 'KD', 'NY']",[]
39358487,['Cisplatin'],['MCF7'],[]
39359528,[],[],[]
39360036,[],['SEM'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '6 h'}}]"
39362925,[],"['MCF7', 'T47D', 'NY']",[]
39363363,[],['BT549'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '1 h', 'Drug treatment duration (hour/day)': '1 h'}}]"
39364440,[],"['SEM', 'MCF7', 'KLE']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39364737,['Cisplatin'],"['HK2', 'SEM', 'HT29']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': 'incubated for 2 h', 'Drug treatment duration (hour/day)': '2 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '15 min'}}]"
39364744,['Cisplatin'],"['HH', 'RL', 'DB']","[{'assay': 'CCK-8', 'params': {'Culture duration (Days/Weeks)': '7 days', 'Drug treatment duration (hour/day)': '7 days'}}, {'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '8×10⁴  cells per well', 'Incubation Time (hour)': '12 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39365693,"['Piperlongumine', 'Cisplatin']","['MCF10A', 'CI', 'PC3']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '3 h', 'Drug treatment duration (hour/day)': '3 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39366987,[],"['HK2', 'T47D', 'MCF7']",[]
39367484,[],['H4'],[]
39367855,[],"['JIMT1', 'RL']",[]
39368988,[],"['NY', 'DL']",[]
39369222,[],"['T47D', 'CI', 'NY']",[]
39370492,[],[],[]
39371991,[],"['MCF10A', 'T47D', 'SEM']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72h'}}]"
39372872,['Cisplatin'],"['MCF7', 'CII', 'A549']",[]
39373058,['Cisplatin'],[],[]
39374382,[],"['T47D', 'MCF10A', 'NY']",[]
39375243,[],[],[]
39375718,[],[],[]
39376579,[],"['LS', 'JR', 'DL']",[]
39379897,['Cisplatin'],['TT'],[]
39380145,['Cisplatin'],['MCF7'],[]
39381998,['Cisplatin'],"['SEM', 'DB', 'DL']",[]
39382485,['Cisplatin'],"['MCF10A', 'MDAMB231', 'MCF7']",[]
39382719,[],[],[]
39382998,[],['SEM'],[]
39385030,[],"['SUM149PT', 'HCC1395', 'SUM159PT']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '2h', 'Drug treatment duration (hour)': '2h'}}]"
39385716,[],"['SEM', 'CI', 'SAS']",[]
39386444,[],[],[]
39387174,[],"['A2780', 'SAS']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39387481,[],[],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}]"
39387580,[],"['SEM', 'RC', 'CI']",[]
39388374,['Cisplatin'],"['CI', 'HCC38', 'SAS']","[{'assay': 'CCK-8', 'params': {'Culture duration (Days/Weeks)': '5 days', 'Drug treatment duration (hour/day)': '5 days'}}]"
39388598,['Cisplatin'],"['HT29', 'SEM']",[]
39390150,[],"['KD', 'MS1']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '4 h'}}]"
39390250,[],"['SEM', 'KD', 'DL']",[]
39390952,[],['SEM'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '2 h', 'Drug treatment duration (hour/day)': '2 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39391245,[],['MJ'],[]
39391525,[],[],[]
39392082,[],['TT'],[]
39392593,[],"['MCF7', 'RC', 'H4']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '20 min'}}]"
39394061,[],"['PC3', 'T47D', 'JR']",[]
39394145,[],"['MCF7', 'DL', 'SEM']",[]
39394189,[],"['THP1', 'KD', 'DL']",[]
39395005,['Cisplatin'],"['TT', 'A427']",[]
39395083,['Thapsigargin'],"['U87MG', 'H4', 'HL60']","[{'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': '4 μM'}}]"
39395135,[],"['U87MG', 'CAS1', 'U251MG']",[]
39397001,['Cisplatin'],"['SEM', '697']",[]
39397066,[],['SEM'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '96 h', 'Drug treatment duration (hour/day)': '96 h'}}]"
39397181,[],[],[]
39397207,[],[],[]
39399125,[],"['MCF7', 'MJ', 'JR']",[]
39399463,[],"['697', '921']",[]
39400682,['Cisplatin'],"['MCF7', 'A549']",[]
39400783,[],['SEM'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '30 min'}}]"
39401104,[],['A549'],[]
39402557,[],['697'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39402579,['Cisplatin'],"['HCC1806', 'CI', 'DL']",[]
39403185,[],"['A431', 'TK', 'BT474']",[]
39403328,[],['YT'],[]
39403604,[],"['SEM', 'HT', 'MJ']",[]
39403708,[],"['YT', 'RL']",[]
39404403,[],"['PSN1', 'ACN', 'HF']",[]
39404461,[],[],[]
39406784,[],"['SEM', 'TT', 'MCF7']",[]
39407254,['Cisplatin'],['KD'],[]
39407463,['Cisplatin'],"['PC3', '921', 'NY']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': 'treated for 24 h', 'Drug Concentration (mol/L)': '100 μM'}}]"
39407625,[],['MCF7'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '1H', 'Cell Density (cells/well)': '3 × 10⁵  cells/well'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '1H', 'Drug treatment duration (hour)': '1H', 'Cell Density (cells/well)': '3 × 10⁵  cells/well'}}]"
39407709,[],[],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '7 min', 'Cell Density (cells/well)': '3 × 10⁵  cells/well'}}, {'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '  cells/well', 'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39408264,[],"['MCF7', 'MG63']",[]
39408747,[],"['HCC1937', 'NY']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39408826,[],"['MCF7', 'SKBR3', 'T47D']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39408842,['Cisplatin'],"['HK2', 'HT']",[]
39408889,[],"['MCF10A', 'MCF7']",[]
39408921,[],['SEM'],[]
39409699,[],"['MCF10A', 'HL60']",[]
39409880,[],"['MCF7', 'SEM', 'HCC1428']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '96 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '96 h', 'Drug treatment duration (hour)': '96 h'}}]"
39409944,[],"['NY', 'K562']",[]
39409987,[],"['MCF7', 'A549']",[]
39411938,[],[],[]
39412236,['Cisplatin'],"['MJ', 'SEM']",[]
39413005,[],['TK'],[]
39413161,[],['CI'],[]
39413405,['Cisplatin'],"['HT', 'HCT116', 'DL']",[]
39414799,[],"['DU145', 'A549', 'PC3']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': 'four hours', 'Drug treatment duration (hour/day)': 'four hours'}}]"
39414946,[],"['SEM', 'SUM149PT', 'MCF10A']",[]
39415210,[],"['BT20', 'NY', 'JR']",[]
39415555,[],[],[]
39415963,['Cisplatin'],"['RL', 'NY', 'HH']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 hours'}}]"
39416223,[],[],[]
39416524,[],[],[]
39417912,[],"['SEM', 'A549', 'RL']",[]
39418101,[],"['T47D', 'MCF10A', 'BT474']",[]
39418263,[],"['U937', 'RD']",[]
39420139,[],"['SEM', 'HT']",[]
39421851,[],[],[]
39422756,[],[],[]
39425240,[],"['CI', 'SEM', 'HT']",[]
39427007,['Cisplatin'],[],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour/day)': '48 h'}}, {'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '2 × 10⁵  cells/well', 'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39427012,[],[],[]
39427017,[],"['MCF7', 'SW480', 'U937']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39427126,['Cisplatin'],"['SKBR3', 'A375', 'A549']",[]
39429685,[],"['NY', 'RL', 'EN']","[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '1×10⁴  cells per well', 'Incubation Time (hour)': '2 hours', 'Drug treatment duration (hour/day)': '2 hours'}}]"
39432155,['Cisplatin'],"['MCF7', 'BT474', 'T47D']",[]
39432387,[],"['SEM', 'MON', '921']",[]
39433427,[],"['HCC38', 'HCC70', 'RD']",[]
39433537,[],[],[]
39434131,['Cisplatin'],"['HCT116', 'BT474', 'MJ']","[{'assay': 'BrdU', 'params': {'Incubation Time (hour)': '12 h', 'Drug Concentration (mol/L)': '10 μM', 'Drug treatment duration (hour)': '12 h'}}]"
39435351,[],"['RL', 'T47D', 'H9']",[]
39436672,[],"['DL', 'PC3', 'LS']",[]
39436824,[],['BT20'],[]
39437263,[],[],[]
39438406,[],['RL'],[]
39440050,['Cisplatin'],"['RD', 'HK2', 'HH']",[]
39441384,[],"['HCC1937', 'MCF10A', 'BT474']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '30 min', 'Drug treatment duration (hour)': '30 min', 'Reagent/kit/staining solution Manufacturer and Catalog Number': 'staining solution'}}]"
39441735,['Cisplatin'],"['SKMEL28', 'A375', 'HF']",[]
39443414,[],"['MCF7', 'HN']",[]
39443601,[],"['MCF7', 'KD', 'K5']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}]"
39443656,[],"['SEM', 'HT']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '20 h', 'Drug treatment duration (hour/day)': '20 h'}}]"
39443820,[],"['NY', 'YT', 'RL']",[]
39446049,[],[],[]
39447113,[],[],"[{'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '5 × 10⁴  cells per well', 'Incubation Time (hour)': '48 h'}}]"
39448199,[],"['CI', 'NY', 'KD']",[]
39448267,['Cisplatin'],"['RD', 'KD', 'DL']",[]
39448366,[],"['NY', 'SEM', 'TR146']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '30 min', 'Drug treatment duration (hour/day)': '30 min'}}]"
39448577,[],['SEM'],[]
39448672,['Cisplatin'],"['SKBR3', 'CI', 'BT474']",[]
39448707,[],"['LS180', 'T47D', 'HT']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}]"
39449928,[],[],[]
39450881,[],['NY'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 min'}}]"
39450890,[],"['H4', 'LCLC97TM1', 'HT']",[]
39450994,[],"['HT', 'SEM']",[]
39451228,[],"['MCF7', 'K562', 'A549']",[]
39452867,['Cisplatin'],"['NY', 'T47D', 'SEM']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39452882,[],['SEM'],"[{'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': '0.5 μM', 'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 24 h'}}]"
39456028,['Cisplatin'],"['CI', 'MJ', 'TK']","[{'assay': 'CCK-8', 'params': {'Drug Concentration (mol/L)': '20 μM'}}]"
39456218,['Cisplatin'],"['HCC1395', 'SEM']",[]
39456536,[],"['HCT116', 'SEM', 'SW480']",[]
39456676,[],"['MCF7', 'A549', 'NY']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}]"
39456679,[],['MCF7'],[]
39456890,[],"['CI', 'U937']",[]
39457440,[],"['T47D', 'C32']",[]
39457710,[],"['MCF7', 'K562']",[]
39458584,[],['HCC1937'],"[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug Concentration (mol/L)': '20 μM', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39458896,['Cisplatin'],"['NY', 'HCT116', 'ACN']",[]
39460738,[],"['NY', 'RD', 'RL']",[]
39461888,[],[],[]
39462444,[],[],[]
39462900,[],"['SEM', 'HT29', 'HCT116']",[]
39463375,['Cisplatin'],"['H4', 'NY', 'A549']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '48 h', 'Drug Concentration (mol/L)': '50 μM', 'Drug treatment duration (hour/day)': '48 h'}}]"
39463723,[],"['SKBR3', 'KD', 'RL']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 hours'}}]"
39464086,[],[],[]
39464677,[],"['NY', 'HT']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '10 min'}}]"
39466383,[],['RD'],[]
39468145,[],[],[]
39468189,[],"['A549', 'NY', 'MCF7']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour/day)': '48 h'}}]"
39468211,[],"['MCF7', 'SEM']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}]"
39468438,[],[],[]
39468555,[],"['MCF7', 'MCF10A', 'MJ']",[]
39469113,[],['CI'],[]
39469630,[],"['MCF10A', 'HCC1806', 'BT549']",[]
