"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001454","C10"
"false","Bowel","Colorectal Adenocarcinoma","Colorectal Adenocarcinoma","ACH-001456","C125PM"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000009","C2BBE1"
"false","Skin","Melanoma","Melanoma","ACH-000580","C32"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001333","C33A"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001818","C396"
"false","Liver","Hepatoblastoma","Hepatoblastoma","ACH-001021","C3A"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001334","C4I"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001335","C4II"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001458","C75"
"false","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-001459","C80"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000206","C8166"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001460","C84"
"false","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-001461","C99"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-000440","CA46"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002043","CA922"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000003","CACO2"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000210","CADOES1"
"false","Kidney","Renal Cell Carcinoma","Renal Clear Cell Carcinoma","ACH-000433","CAKI1"
"false","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","ACH-000234","CAKI2"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000212","CAL120"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000826","CAL12T"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000902","CAL148"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000832","CAL27"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000142","CAL29"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000518","CAL33"
"false","Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","Squamous Cell Carcinoma of the Vulva/Vagina","ACH-002091","CAL39"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000856","CAL51"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-000457","CAL54"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-000174","CAL62"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001715","CAL72"
"false","Bone","Chondrosarcoma","Dedifferentiated Chondrosarcoma","ACH-000516","CAL78"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000857","CAL851"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000511","CALU1"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000392","CALU3"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000264","CALU6"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-000783","CAMA1"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000713","CAOV3"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000103","CAOV4"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000354","CAPAN1"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000107","CAPAN2"
"false","Bowel","Colorectal Adenocarcinoma","Rectal Adenocarcinoma","ACH-002345","CAR1"
"false","CNS/Brain","Diffuse Glioma","Glioblastoma","ACH-000464","CAS1"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001336","CASKI"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001022","CBAGPN"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Cholangiocarcinoma","ACH-002647","CCC5"
"false","CNS/Brain","Diffuse Glioma","Astrocytoma","ACH-000329","CCFSTTG1"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000963","CCK81"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-002839","CCLFCORE0002T"
"false","Kidney","Renal Cell Carcinoma","Renal Medullary Carcinoma","ACH-001163","CCLFPEDS0001T"
"false","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-001164","CCLFPEDS0003T"
"false","Soft Tissue","Epithelioid Sarcoma","Epithelioid Sarcoma","ACH-001433","CCLFPEDS0008T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Soft Tissue","ACH-001767","CCLFPEDS0018T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002446","CCLFUPGI0005T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002730","CCLFUPGI0009T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002835","CCLFUPGI0011T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002954","CCLFUPGI0012T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002837","CCLFUPGI0015T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002981","CCLFUPGI0027T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002967","CCLFUPGI0036T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002733","CCLFUPGI0040T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002968","CCLFUPGI0041T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","ACH-002736","CCLFUPGI0052T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002871","CCLFUPGI0054T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002757","CCLFUPGI0068T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-002972","CCLFUPGI0085T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","ACH-002979","CCLFUPGI0101T"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001959","CCLP1"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-001738","CCRFCEM"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001960","CCSW1"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-002218","CESS"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000138","CFPAC1"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Head and Neck Squamous Cell Carcinoma","ACH-001023","CGTHW1"
"false","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-000025","CH157MN"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000867","CHAGOK1"
"false","Skin","Melanoma","Melanoma","ACH-001024","CHL1"
"false","Skin","Melanoma","Melanoma","ACH-001041","CHL1DM"
"false","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001028","CHLA06ATRT"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001029","CHLA10"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001300","CHLA15"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001030","CHLA218"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001282","CHLA258"
"false","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001031","CHLA266"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001032","CHLA32"
"false","CNS/Brain","Embryonal Tumor","Primitive Neuroectodermal Tumor","ACH-001033","CHLA57"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001034","CHLA9"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001481","CHLA90"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001035","CHLA99"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000136","CHP126"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001338","CHP134"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000120","CHP212"
"false","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002092","CHSA0011"
"false","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002093","CHSA0108"
"false","Bone","Chondrosarcoma","Chondrosarcoma","ACH-002094","CHSA8926"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001484","CI"
"false","Lymphoid","Non-Hodgkin Lymphoma","Mature B-Cell Neoplasms","ACH-000687","CI1"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-002996","CI34601"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001485","CII"
"false","Skin","Melanoma","Melanoma","ACH-000458","CJM"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000249","CL11"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000342","CL14"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000895","CL34"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000798","CL40"
"false","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-001322","CME1"
"false","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-000641","CMK"
"false","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-001036","CMK115"
"false","Myeloid","Acute Myeloid Leukemia","Myeloid Leukemia Associated with Down Syndrome","ACH-001037","CMK86"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000920","CMLT1"
"false","CNS/Brain","Embryonal Tumor","Atypical Teratoid/Rhabdoid Tumor","ACH-001289","COGAR359"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-001038","COGE352"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001301","COGN278"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001302","COGN305"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000253","COLO201"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001039","COLO205"
